  always ,  Reading #zizek before bed is always a recipe for a nice 
  good ,  @QSKSw You're bored
  good ,  @Big_M396 Haha good joke #Sarcasm
  good ,  @Ram0na_Fl0wers that's good. Real good. Like real real good. #notsarcastic. #seriously #no #sarcasm
  good ,  Well that was a good reaction. #sarcasm
  good ,  So far so good for my #Gators. Oh
  good ,  I look so good today...#Sarcasm lol
  good ,  2 chainz lyrics are amazing so meaningful hes such a good rapper #sarcasm
  good ,  Oh good
  good ,  @wittertainment @KermodeMovie Great news about #U2 winning at #GoldenGlobes. I'm sure the good doctor is overjoyed #sarcasm
  good ,  U know its gunnna be a good day when u have a screaming match with ur parents first thing in the morning #sarcasm
  good ,  @SportsCenter folks in Cleveland see this all the time. Nothing to worry about Packers fans. It's all good! #Sarcasm
  good ,  Misses TWD last night but @FNCJman and @superweeniehut did a good job not spoiling anything for me on twitter #sarcasm #thanksAlot
  good ,  Wish I could be good at football like you ! #sarcasm
  good ,  @BergenCapital Good thing our population has shrunk since then. Otherwise
  good ,  Idk but I'm in a pretty good mood today regardless that I'm sitting in first period ready to commit suicide #sarcasm
  good ,  In relationships......the bad is the only thing that matters. Fuck all the good times filled with smiles
  good ,  What?! I didn't tell you I was a comedian?! Good
  good ,  @semubhatt good you added #sarcasm
  good ,  Wow the SEC has really good defense! #Sarcasm
  good ,  #Arsenal Need a new Striker... Gibbs is not a good Striker #sarcasm.
  good ,  @KieraClaireeeee that was a good one . | #NoComeBack #Sarcasm
  good ,  It's a good thing I didn't go to Toronto today... was able to get so much work done! Worth missing @GrasslandsTO brunch!
  good ,  @tthasselbeck Good work expert analyst #sarcasm http. //t.co/gskS5ncVeB
  good ,  @subo84 Heard DOOM was good.... #Sarcasm
  good ,  Good job
  good ,  Man the patriots offense is sooo good #sarcasm
  good ,  @BarbiesUglyCuzn I bet you're good. I can tell by all the sex pictures in your photo feed. Only classy broads roll like that. #Sarcasm
  good ,  Good thing it's raining and I want to go to work... #sarcastic #hatework #tooearly
  good ,  I feel really good I can't.
  good ,  good offside call linesman. #sarcasm #MCFCvLFC http. //t.co/QG2us1jUle
  good ,  @einhyatt oh..if u teach ur child well enuf
  good ,  Oh good. My fitness magazine came in the mail. #sarcasm
  good ,  Good start for United...nice work! #sarcasm
  great ,  This great game can only mean one thing.  The Big Ten is terrible. #sarcasm
  great ,  Wow the back of this car is great. Cold. Quiet. Boring. Oh yeah
  great ,  The pass on 3rd and 1 worked great. We probably should have passed it on 4th and 1. #Sarcasm  #PackerFanProbs
  great ,  The joys of being a female
  great ,  Way to go Oklahoma! 48th for women! Thanks Gov. Failin! Great job of opting out of medicare too! #sarcasm http. //t.co/cEfU3okFev
  great ,  Teching a show and riding the cotton pony.  Two great activities that go great together. #sarcasm #actorproblems #crying
  great ,  Today is gonna be a great day! #sarcasm
  great ,  Just burned my entire mouth drinking coffee. This is going to be a great day. #sarcasm
  great ,  moyes is a great  manager
  great ,  RT @ItsLukeYeah.  Oh great
  great ,  When ppl ask about us I don't know what to tell them. Stomach hurts. Tired. Great way to start the New Year -.- #Sarcasm #Bleh
  great ,  sitting on cathays train station in this damp and depressing weather on my own is great #sarcasm
  great ,  Isn't it great when people speak to you in work #yay #sarcasm
  great ,  Most of my commutes everywhere involve above ground trains. Did I mention that I CAN'T WAIT for it to get cold. Ok great. #sarcasm
  great ,  It's a great morning for the power to be out. So great I had to tweet about it #sarcasm
  great ,  Love the great sales at Loblaws. #Sarcasm #IGot3...no...wait...5CentsInMyPocket. http. //t.co/H9PoMi46Kg
  great ,  I'm starting to think Gardner likes getting sacked. Michigan is playing great so far. #sarcasm #obviously
  great ,  Wish I knew why a bus to the city normally takin bout 45 min took nearly 2 hrs but I knocked out on the ride. Great start to my day #sarcasm
  great ,  Bruins Wild is such a great rivalry same with 
  great ,  Man
  great ,  Guess we are over the #ebola scare phase. Fresh throw up on @Dulles_Airport people mover. Great public health work! #sarcasm #WelcomeHome
  great ,  Annual return...Great way to start the week . / #sarcasm
  great ,  RT @rmillion13.  What a great best friend!!! #sarcasm
  great ,  My boyfriend hasn't said one word to me for hours. Whaat a great guyy #sarcasm
  great ,  #walmartfights...Great
  great ,  This has been a great birthday #jk #sarcastic
  great ,  Good thing #ESPN have great announcers for this rivalry have. #not #gocards #sarcasm
  great ,  Well today has started off great.. #sarcastic
  great ,  Hilarious stuff.  Great News From The Poppy Fields Of Afghanistan.  Bumper Harvest This Year! http. //t.co/PkHpPf5thn  #satire #irony  #sarcasm
  great ,  3 exams in 1 week
  great ,  No matter what i do you're never happy. Great. Fuck it. You don't listen to me anyways...
  great ,  Today's been a great day #sarcasm
  great ,  What great weather for homecoming. #sarcasm
  great ,  Wohoooo in parsons what a great feeling to be back #Sarcasm
  great ,  I guess cleaning my room is more important that studying for a test for a class im failing. Yeah that makes great sense #sarcasm
  great ,  Great to finish of a great day #sarcasm
  great ,  All of the people just will not come to LA anymore! Great! Lost revenue and lost business among the Los Angeles region! Good job! #sarcasm
  great ,  Great NYE dinner with my boo. #old #wevechanged #ilovemyjob #sarcasm http. //t.co/NjmQnj3YZJ
  great ,  @xmaseveevil1 @charlesfrith thats a great reply..informative and addressed the previous tweet well.. #sarcasm #DontFeedTheTroll
  great ,  Sure
  great ,  RT @l_caden.  Wow! Salty has play Thrown great for the Sox lol #sarcasm
  great ,  Glad this new wifi is working as great as before break.... #sarcasm
  great ,  Oline playing great again!!! #Riders #sarcasm
  great ,  Moyes is doing a great job.. #Sarcasm
  great ,  @NiamhMcGovern3 I had a great day
  great ,  RT @KatieBFangirlin.  The Afair is winning a couple tonight. A show about cheating... OMG sounds sooooo great #sarcasm #GoldenGlobes
  great ,  @staciakissell wow stac this was real deep! Thanks for the great advice! #sarcasm
  great ,  Way to go @ScandalABC with your great trigger warnings before mentioning rape and much applause for using it as a good plot point. #sarcasm
  great ,  So great to have Brucie back - comedy gold. #sarcasm #strictly
  great ,  Great end to a horrible day! #sarcasm
  great ,  Great headline - Thirsty? Go to a library
  great ,  Well this is already a great morning! #sarcasm
  great ,  Great defense by Tony Carter #sarcasm #Broncos
  great ,  300 tweets wow.. I'd like to thank my friends my family who stood by me for this great moment #sarcasm
  great ,  Great weather for duke of Edinburgh expedition! Can't wait! #sarcasm #helpme
  great ,  Knicks are off to a great start!!! Life is great!! #sarcasm
  great ,  Great start for the #Saints. #Sarcasm #NFLPlayoffs #NOvsSEA
  great ,  They say what you're doing at the end of 2013 is what you'll be doing all 2014... Alone? What I thought. 2014 is going to be great. #Sarcasm
  great ,  Seriously great way to end my night! #Sarcasm
  great ,  I had a great break I did so much #sarcasm
  great ,  I work for such a great
  great ,  What great news. What great great news. #sarcasm
  great ,  I didn't do too bad on the freeway today. Although I almost hit the semi in front of me. Buuut I did great !
  great ,  Great start to my bday week. #sarcasm
  great ,  Very important decisions to make! And I have no idea what to do ;) that's great #sarcasm
  great ,  great D by #Knicks on final possession. and great last shot on their end!!! #sarcasm
  great ,  The hold was prior to the pass
  great ,  @MileyCyrus When someone offers you honest advice
  great ,  Way to support me through anything family
  great ,  My speech Tuesday is over divorcement. Just great! #sarcastic
  great ,  Great. Root Sports for the Leafs game. #Sarcasm
  great ,  Off to a great start... #sarcasm
  great ,  @YodaAnonymous well this is outrageous
  great ,  Todays been great #Sarcasm
  great ,  It's going to be another great year. Note.  #sarcasm
  great ,  wow steelers look great #sarcasm
  great ,  #diabetic #t1d great start today. 320 to 39 in an hour and a half. Sigh #sarcasm http. //t.co/qQbMOvw6EA
  great ,  22. 14. @Comcast internet service is great. #SARCASM #SHITTYSERVICE #FUCKCOMCAST
  great ,  Well
  great ,  if only my life was as thrilling as not remembering all the great times we had #sarcasm
  great ,  @NateWantsToBtl @dookieshed Guess what? Pokebank's delayed! Great job nintendo
  great ,  Well today is just great so far! #sarcasm
  great ,  Being kept up all night is really great.  #sarcasm #killme
  great ,  This is great duck huntin weather #67degress #sarcasm
  great ,  Well that was a fucking great sleep I feel completely energised. #sarcasm
  great ,  Going to sleep in a great wee mood . ) #sarcasm
  great ,  RT @mikayla_bueker.  mickaylas going to be a great mom. #sarcasm
  great ,  RT @AmelieXMan222.  Life is just great #sarcasm
  great ,  Yes
  great ,  Great game for Monday Night Football #sarcasm
  great ,  It's great how all these books for English are about depressing topics #sarcasm #notmytype
  great ,  Great way to end my awful day. #Sarcasm
  great ,  RT @sierra__dube.  Great family bonding... #sarcasm
  great ,  @MkelseyD that's a great tweet! #sarcasm
  great ,  Weekends over already... well isnt that just great #sarcasm
  great ,  LOVING the new foul rules for NCAA basketball. Touching=foul. Beathing=foul. Thinking=foul. Makes for a great flow of play. #sarcasm
  great ,  UCF vs Baylor in the Fiesta Bowl. That's going to be a great game! #sarcasm
  great ,  To the girls having a convo in the library and also talking on your phones.  if you could speak louder that would be great. #sarcasm #midterm
  great ,  Today was great...#sarcasm #boring
  great ,  RT @DearDancers.  I find it great that 8 year olds are more.flexible than me. #Sarcasm #ADancersMind
  great ,  This morning is starting out fucking great. #sarcasm
  great ,  When you forgot tomorrow is picture day.... Whoops. Gonna look just great.. #sarcasm
  great ,  Another day with no plans? Yeah
  great ,  The Packers are off to a great start......
  great ,  @CMichB21 Great read on that pass #sarcasm
  great ,  This class is the class full of...just great kids. ha #sarcasm
  great ,  With great #power comes great #electricity bill 
  great ,  @BrockTallakson Great...cannot wait to see you! #SARCASM
  great ,  Honestly for a first timer I think my swim season is off to a great start #sarcasm
  great ,  @ImperfectMormon #tennessee isn't it great? #sarcasm
  great ,  Well the iFruit app for GTA is great isnt it? #Sarcasm
  great ,  RT @Todd_Porche.  What a great last night of the break #sarcasm
  great ,  My day will consist of watching college football and writing two 10 page papers...what a great day off #sarcasm
  great ,  Wow so a 7 year just cursed his mother and she did nothing at all ? I could already feel like he's a great kid already #sarcasm
  great ,  What to do during convocation? Tweet about how great it is #sarcasm
  great ,  Man I am just so glad West has the IB program its so great
  great ,  RT @_andreeeaa_.  S/O to the parents who let there kids run around in public places &amp; act lk its nothing.yall are great parents! #sarcasm
  great ,  Wouldn't it be great if there was a website that did a Earth Wind Map? #Sarcasm
  great ,  Start of a 15miler in cold rain...great! #sarcasm #running (@ Deep Run Park) http. //t.co/824WfNCXFf
  great ,  @OmglolU @DillyPickler @AlArabiya_Eng Aww
  great ,  @notthefakeSVP Oh great Classless in Seattle can't wait #sarcasm
  great ,  I really like not sleeping in. Like its great. #sarcasm
  great ,  RT @Shannon_Hookway.  great way to start offf my break! #sarcasm
  great ,  @tbhplzstop  so I shouldn't take my date to Mcdonalds or a KKK rally! Thanks for the great advice #Sarcasm
  great ,  Rain made me more late than i shud have -.-...... Great start to the day #sarcasm
  great ,  More football.....great... #sarcasm
  great ,  Like oh you're the greatest server here? How great for you
  great ,  Great way to spend a Saturday .. Driving to kincardine to watch the jr C all star game .... #not #sarcasm
  great ,  I always chase the things I can't have. It's a great feeling. #sarcasm
  great ,  Chilling in Pittsburg children's hospital. Great! #sarcasm
  great ,  Lol awkward when ppl pass by and urban sitting next to a trash can XD great fun lol... #Sarcasm
  great ,  Last touches to my madison essay
  great ,  Finally left work!!  Now to walk home and right an essay
  great ,  This is great team bonding #sarcasm
  great ,  RT @loc8ingoil.  Eakins has done such a great job this season thank god he's signed for four years #sarcasm
  great ,  @JoMarie15 I love reading your roommate stories lmao she sounds like a great gal..#sarcasm
  great ,  Making great life choices rn #sarcasm
  great ,  @olly_little1996 @kingchamp1996 says 'have a great day #sarcasm'
  great ,  I'm having a great time playing #NBA2K14!!! @2k @ronnie2k #PS4share #sarcasm http. //t.co/gRWShz04YF
  great ,  Paper is going great about 1000 more words to finish #Yay #Sarcasm http. //t.co/M7S4eX9Ajx
  great ,  @CyrusTarber ya that is a great song to dance to #sarcasm
  great ,  Oh
  great ,  Great. Thierry Henry is going to be a pundit on Sky Sports. Can't wait. #sarcasm
  great ,  Today is going to be a great Monday ! #sarcasm #crazydayattheoffice
  great ,  Idk what you guys are talking about. The roads look great! #sarcasm http. //t.co/m5VwZ1ASYc
  great ,  Well this I just going great #sarcasm
  great ,  I have such great friends they're always there for me
  great ,  It's so great that everything at the store that is bad for you is cheap &amp; easily found
  great ,  Tonight was great
  great ,  Great that's fantastic #sarcasm
  great ,  It's great having lunch at 10. 50... #sarcasm
  great ,  Ain't the governing body formerly known as FILA great? #sarcasm
  great ,  @nw_ameyer what are you talking about
  great ,  Great break for the Skins
  great ,  RT @KamielSadien.  Work here off to great start! #sarcasm
  great ,  RT @DoniBobes.  @nufcfans Great to see a win! Always had faith in pardews tactics ;) #Sarcasm #ImHappy http. //t.co/apF22uQBbm
  great ,  @KurtsTemper yeah. Great. Gee
  great ,  Great time for a storm to start! #Sarcasm
  great ,  Today's has just been going great
  great ,  This morning is going great! #sarcasm
  great ,  Great job on resigning Byrd
  great ,  You guys make me feel is great  .. Thanks so much &lt;3 #sarcasm
  great ,  @Courtneyy_Dres.  This weeks turning out to be great #sarcasm
  great ,  Oooh iPad Air! Such a great innovation. I really want it. No! I need it!! #sarcasm
  great ,  My wifi is so great right now #sarcasm
  great ,  Think I'm gonna be tired for the rest of my life now . ( great.... #sarcasm
  great ,  Great; now my Spinbrush Pro won't hold a charge. Now how do I brush my teeth so sparkly? #1wp #sarcasm #rhetorical
  great ,  @MapleLeafs oh that is great #sarcasm
  great ,  Fantastic ending to a great day. #sarcasm #goodnight.
  great ,  RT @LinzC1012.  Running on like 4 hours of sleep for work..today is going to be great #sarcasm #exhausted
  great ,  @UberFacts oh how great for me #sarcasm
  great ,  This dude on the @dandakich show is great. Everyone should be so concerned about how other people are compensated for their jobs #sarcasm
  great ,  @sistoney67 great stat well done #sarcasm
  great ,  Matt Flynn is great. #sarcasm #Packers
  great ,  Dear New York City
  great ,  What a great start to this break.... #Sarcasm
  great ,  Well
  great ,  I'm 90% sure I have pink eye
  great ,  No phone
  great ,  @lesliemariel777 The amazing joy of mathematics. Woo. And a great teacher too.
  great ,  #foxsports thanks for the announcement of white sox acq..during acls...great news #sarcasm
  great ,  RT @34rymill.  @krispykreme you guys really know how to spread some holiday cheer great service #dissapointing #sarcasm
  great ,  Great !! So being an independent woman that never asks her parents for money is considered being a baby . ) #sarcasm
  great ,  This'll be great for the environment. #Sarcasm #FYI '#Dubai aiming for fireworks world record on New Year's eve' http. //t.co/aAdeoMunfa
  great ,  To all those with the great idea of #iPhonecookies. Thx 4 wasting cops time. Not like they could actually be helping someone #sarcasm
  great ,  AVB for Sherwood
  great ,  Great news today in Fantasy Football. Danny Amendola likely has a sports hernia and can miss a few weeks. #sarcasm
  great ,  Great as of right now my QB leads the league in interceptions. I'm so proud #SARCASM
  great ,  @LandonCWood I was being facetious...so sounds great #sarcasm
  great ,  its just so great that i'm up right now #sarcasm
  great ,  Great start to a terrible week #sarcasm #isitfridayyet
  great ,  Every single day i tweet the same stuff .... Im hungry
  great ,  What a great weekend
  great ,  @DoctorChristian another great advertisement for mental health services  and over medicating MH in the UK... #sarcasm
  great ,  Remember when Puig was left out of allSTAR game? Great call not putting him in. Not like hes a star or exciting #sarcasm
  great ,  Lesean McCoy injuried is just great for my Fantasy Team #Sarcasm
  great ,  Great job crawford......  #sarcasm
  great ,  Hey @erinivy94 how is your process of finding research coming? Mine is coming great
  great ,  Great signing by the #Yankees #JacobyEllsbury #sarcasm
  great ,  If I could get a few more pics of the snow on my instagram feed and a few more banal tweets about how it snowed
  great ,  That's great! #sarcasm
  great ,  I have a student council and homeroom rep meeting at the same time today. That's just great. #sarcasm
  great ,  Great first game with Rose Bulls . ( #sarcasm #sadtweet
  great ,  So we've almost established a trend of 1. 3 prisoner exchanges. Yet another great legacy. #sarcasm #USCuba #USCUBARELATIONS
  great ,  @juliamacfarlane Don't forget
  great ,  Oh great
  great ,  @WashTimes he so eloquent
  great ,  Glad I had a great night ........ #sarcasm
  great ,  So 2014 started off great.... #sarcasm #HappyNewYear
  great ,  Well isn't today just a great day. Haven't talked to you at all. #sarcasm
  great ,  Congratulations to everyone who got engaged on Christmas
  great ,  If my day could get any worse that'd be great. Lol. #Sarcasm #fml
  great ,  Looks like its going to be a great day. #Hall #Morning #Sarcasm #Ra #Sad http. //t.co/HEalEUIWeQ
  great ,  hanging out with my sister and her bf is always a great time #sarcasm
  great ,  @wkrakower @plnaugle @Sirotiak02 have a great time folks!!! Not a tad bit jealous ;) #sarcasm
  great ,  That picture was great.#sarcasm
  great ,  Great half west ham #sarcasm #3-0
  great ,  @WFAN660 gotta love Rex stooping to the level of a 20 year old. Over a freaking preseason game. Grow up already. Great leader #sarcasm
  great ,  And we're off on a great start today. #sarcasm
  great ,  @BroKeN_Haterade @davidhav14 lol White Panda gone kill it. Nobody knows who he is
  great ,  RT @Mr_Dominant7.  fire alarm at 1. 30am....great. Just fuckin beautiful #sarcasm
  great ,  Great start to a new year. #sarcasm
  great ,  What another great PP... #mnwild #sarcasm
  great ,  RT @gess71.  @angryblogofphog great encore #sarcasm
  great ,  Picked a great day to do a prank at the beach... #sarcasm #theresnoonehere http. //t.co/0DgrzVsSlP
  great ,  Staff infection on my neck.. Yup. Great. Just fabulous. #sarcasm http. //t.co/T2Pwa31Bai
  great ,  Great
  great ,  Stuck in Cleveland for airplane maintenance. Such a great travel weekend it has been. #sarcasm
  great ,  Great weather today #sarcasm
  great ,  @HTTR24_7 yeah he would be a decent backup. If he keeps playing like this for 2 more years could be a great back up #sarcasm
  great ,  Well today has had a great start! #sarcasm
  great ,  Go to 3 people for advise. I got one ignore and 2 ill fight him great help you 3 atleast you repay all my favors #sarcasm #subtweet #fuck
  great ,  I think it's just so great that cops can just flash their lights and people have to pull over even if the cops not getting them #sarcastic
  great ,  The way you're able to keep a convo with me is great. #sarcasm
  great ,  #DROSE Another great game #sarcastic http. //t.co/6jDYqPXikj
  great ,  @UmdPenaltyBox @Fenton_JC That's a great idea. #sarcasm
  great ,  @STLguy1 Oh that sounds like a great plan. #sarcasm @6Strong8 @KingDSeals
  great ,  Great fight #respect #psubb #sarcasm
  great ,  @Morse___Code.  It's 10. 30 and I can already tell it's going to be a great day... #sarcasm
  great ,  Man
  great ,  Spitting coffee everywhere on the bus. Lol
  great ,  Great now I get to go home to you too. Just keeps getting better and better! #sarcasm
  great ,  Great defense #not #sarcasm #thatwasactuallyawful
  great ,  Yeah
  great ,  what a great day! #sarcasm #restart
  great ,  BBM on android? fucking great idea #sarcasm
  great ,  What a great morning #sarcasm
  great ,  @AndyGlockner fingers could clearly be seen under the ball and you can't see the ball touch the ground. Great reversal. 
  great ,  thanks mom. youre so great at making me feel good about myself. #sarcasm
  great ,  RT @InlovewithCote.  @Daisy_Meggie HEY!! She is a great friend to me alright? Stop bashing!!! #NoNegativityZone #Sarcasm
  great ,  @themichaelowen great... What a charismatic line up that is. I can just picture the excitement #sarcasm #snooze #boring
  great ,  Pitt game
  great ,  so my shoulder hurts and I have to go to a fitting tonight....sounds great... #sarcasm
  great ,  Such a great Christmas present... #Sarcasm
  great ,  @Whos_Cameron.  Life is so fucking great. #sarcasm
  great ,  It's a great feeling knowing you don't have anyone. #sarcasm
  great ,  Fumble! Smh... What a great start
  great ,  Great defense today #Sarcasm #CLEvsMIN
  great ,  @strwebb Lots of great defending! #sarcasm
  great ,  Unprofessional is defo the word of the day. What a great way to set an example... #sarcasm
  great ,  Great job @chucktodd. Completely unbiased and impartial interview with @Reince. Outstanding journalism. #sarcasm #LapdogForDNC
  great ,  @DivyaP_ so blurred lines
  great ,  well today is going to be great. #sarcasm
  great ,  RT @Swannimal.  Hey some @LAKingsIceCrew member showed some real class tonight to a 30 year plus STH
  great ,  Wow! That Vikings defense had a great stop there... #sarcasm #ialto
  great ,  Todays gonna be a great day at work #Sarcasm
  great ,  The new Max busses in bham are a great use of tax dollars since everyone rides them!! #gobham #sarcasm
  great ,  Another great saturday night!! #sarcasm
  great ,  Contractions all night for Mrs. Shirt
  great ,  Today has been SUCH a great day... #not #sarcasm
  great ,  RT @ReeveTom.  Booked the dentist for my broke tooth great #Sarcasm
  great ,  So I guess no sleep for me tonight ? Sounds great! #sarcasm
  great ,  My day is going great.. #Sarcasm
  great ,  trying to get my kids to take a nap.could u sing a little loudr n turn up ur music more that would be great #neighbourproblems #sarcasm
  great ,  @LilMissRightie it's only a messaging problem last 4+ years by O &amp; Dems. Citizens haven't learned yet how great ACA is! #sarcasm
  great ,  Great piece about cops overdoing it with sirens and flashing lights.  http. //t.co/1OqK9fWJ0Q #satire #humour #sarcasm #irony
  great ,  $GPS acts great too #sarcasm
  great ,  Dear Canadian Tire
  great ,  My morning has just been great!! #sarcasm
  great ,  Wow the vmas look like they're gonna be great #sarcasm #gladnooneilikeisgonnabethere
  great ,  @PeightonRoth but he did such a great job in those very very long 3 plays #sarcasm
  great ,  Having a great day! Starting it out by waking up in a great mood! #sarcasm #thissucks
  great ,  What a great way to end such a great week. #sarcasm
  great ,  I have some great friends... LOL #sarcasm
  great ,  Hats off
  great ,  You're putting forth GREAT effort. #sarcasm
  great ,  Wow vikes great start to the game #sarcasm
  great ,  Time to partay
  great ,  @sheridanhoops Always knew Boeheim had a great basketball mind.  #sarcasm
  great ,  ya go landeskog great idea going after lucic u fuckin idiot that'll work out for #sarcasm
  great ,  Funny Annoying You Men's Tee http. //t.co/bDSBZ93PCc Great for family reunions! #funny #sarcasm #tees
  great ,  This is just great #sarcasm
  great ,  Great way to wake me up
  great ,  @bstetler146 You're not very nice to the great fans of the Steelers who have only ever said Nice Things about the Browns! #sarcasm
  great ,  RT @BrockBrazeal.  Well today was just great #sarcasm
  great ,  Well
  great ,  Man
  great ,  Thank you family for using all of the hot water I really appreciate it and also I really love the house being freezing its great #sarcasm
  great ,  you know it's going to be a great day when it hurts to walk #sarcasm
  great ,  What a great day this is turning out to be. #sarcasm
  great ,  Man it feels great waking up at 5. 30 am to go to the gym before work! I should have started this a long time ago! #Sarcasm
  great ,  Great job Nyc #sarcasm
  great ,  It's just a great feeling when people don't text you back #sarcasm
  great ,  Off to a great morning #sarcasm
  great ,  Whistling and yelling Hey girl! in complete darkness is a great convo starter. I would love to get to know you... #sarcasm #thirsty #idiot
  great ,  Sitting in traffic for an hour is always a great way to start the morning... #sarcasm
  great ,  So great working all of these holidays...#sarcasm
  great ,  The US killed Sadam Hussein. At least he would have controlled #ISIS in Iraq. Post 9-11 foreign policy was so great #sarcasm
  great ,  Great News.  Deal reached on deficit which will solve all of our exponential growth problems!!! #sarcasm #thatsjustmath
  great ,  I can already see how great this day is gunna be. #sarcasm
  great ,  What a great day! Had to take a 4 hour test then work for 8 hours! #sarcasm
  great ,  Feeling fucking great!! #sarcastic
  great ,  The worst thing the Browns could do on offense would be to adjust their playcalling. Cuz its working great so far. #sarcasm
  great ,  So my right ass cheek is swollen... Great. #sarcasm
  great ,  RT @SkyPeak2.  I've had such a great night. #sarcasm
  great ,  So many annual leave requests today. Great to see everyone so pleased to be back at work already. #sarcasm
  great ,  What a great sports day. #sarcasm
  great ,  Well
  great ,  Well at least I slept great last night
  great ,  So not only is India not tough on rape and sex crime
  great ,  Thay was a great way to start the morning. #sarcasm
  great ,  The Afair is winning a couple tonight. A show about cheating... OMG sounds sooooo great #sarcasm #GoldenGlobes
  great ,  Great news that the Angels are interested in Bartolo Colon #Sarcasm
  great ,  i always want who/what i cant have.
  great ,  On the phone with Eileen
  great ,  So if my phone wants to be more retarded that'd be great... #sarcasm #istilldonthaveios7
  great ,  How do you not ice a kicker attempting his first 60 + yard field goal with the game on the line? Great coaching #sarcasm #DetroitLions
  great ,  Oh great
  great ,  The #GOP House is holding a hearing on space aliens tomorrow. Seriously. Great way to end the work year. #sarcasm http. //t.co/nS9XClPwNF
  great ,  RT @Mus1c_.  I love how #TVD teaches great family morals and values #sarcasm http. //t.co/QaLnVFHIrl
  great ,  Well this birthday's off to a great start #sarcasm
  great ,  I have SUCH and a awesome day before me tomorrow. Studying and.. Studying. Great
  great ,  @kunjal_b great
  great ,  RT @Samantha_Hewitt.  I love how consistent the officials in the @officialEIHL are...it shows what a great league we have. #sarcasm #shocking
  great ,  Delays are just great. #sarcastic #whyyy
  great ,  @kpip5 i didnt have time and its gonna be a great day #sarcasm
  great ,  Joe Buck talking about Newton getting advice about playing in big games from Michael Jordan's friend is some great analysis.
  great ,  Gotta love great friends...#sike #sarcasm
  great ,  Great fucking start to the day. #sarcasm
  great ,  Late to school! About to start this amazing day of school then work right after school till close! Wow it's going to be a great day!#sarcasm
  great ,  I would like to thank the girl who bagged my eggs w/ my sauce. I see great things in her future. She will clearly go far in life. #sarcasm
  great ,  Well it feels great knowing I'm not that important to someone who's important to me. #awesome #sarcasm
  great ,  The officials have been dynamite just like the announcers have been great to listen to #Sarcasm
  great ,  Down by 10. It's clear that firing Malone was a great idea. #sarcasm #nbakings #SacramentoProud
  great ,  Oh yay.... Lol a great day today has been. It's getting so much better... Joy.... #sarcasm
  great ,  Great start to my morning!!! #sarcasm
  great ,  WOW! What a great play out of a timeout. #sarcasm
  great ,  RT @russellhantz.  @LauraMorett great social game lmfao #Sarcasm
  great ,  @abzlarson you are missing a great class #not #sarcasm
  great ,  Great way to start the game cowboys #sarcasm
  great ,  It's a good thing I have great friends... #Sarcasm
  great ,  RT @ChiTownSports.  The #Bears defense looking great as usual #sarcasm
  great ,  @DailyMirror Great job on reporting on a mentally unstable man and calling him drug crazed #Sarcasm
  great ,  I'm running on about 45 minutes of sleep right now. It's really great! #sarcasm
  great ,  What a great way to start the game #sarcasm #BoomerSooner #BeatBama
  great ,  @McClain_on_NFL After all
  great ,  Sick and I have to run the pacer. It's gonna be a great day. #sarcasm
  great ,  Great leaving early on a late start #sarcastic
  great ,  @leefitting @CollegeGameDay I'd pick out someone as great as you did for Clemson...#sarcasm
  great ,  Great way to start the day is with math Yay! #sarcasm
  great ,  So glad my family has so much faith in me. Great self esteem booster. #sarcasm
  great ,  well it was great seeing you too ! thanks for saying hi..........  #sarcasm
  great ,  @JJT_ESPNDallas instead of blaming Romo for the last play. How about blaming D Ware.  He played great. 
  great ,  oh great
  great ,  Whelp this year is starting off just great ;) #sarcasm
  great ,  What a great start to the day so far! #sarcasm #fuming
  great ,  Woke up puking.. Great start great start. #sarcasm
  great ,  Wow that was a great nap my sister wasn't stomping around the house at all I slept so well omg best nap ever    #sarcasm
  great ,  wow you're just such a great friend. #sarcasm
  great ,  The #GSP gunman is on the loose.  Great job letting him slip through the perimeter.  #Paramus #shooting #sarcasm
  great ,  This weekend is going to be great #Sarcasm
  great ,  My friends are great. #sarcasm
  great ,  FML. Now they're singing along with the twerk queen. Great night to lose one ear plug. #sarcasm http. //t.co/m2KjCqjT0g
  great ,  Great
  great ,  Always making me feel lyk shit...wat a great family huh #sarcasm
  great ,  My fall break has just been so great! #sarcasm
  great ,  Studying for bio...great way to spend Saturday #sarcasm
  great ,  @Discovery ...awesome...one more reason to feel really great about flying...#sarcasm
  great ,  @DwyaneWade just wanted to let you know your a great role model for all the young boys out there today! #sarcasm
  great ,  In regards to my previous tweet.....Thanks a lot LG
  great ,  Great weather for football #sarcasm #collegefootball @ BBVA Compass Stadium http. //t.co/g0zJT85nin
  great ,  Spending the day with my economy book. / We are going to have a great time. #sarcasm
  great ,  This Monday is being so great to me. #sarcasm
  great ,  First day of the new year and already in a great mood #sarcasm
  great ,  RT @parryjack1.  Looking forward to another great day of school #sarcasm
  great ,  Got attacked with a computer Virus last night
  great ,  @Clinique_US -question- who in your marketing dept. came up with the name chubby stick? Great move #sarcasm http. //t.co/J9byo9M5eE
  great ,  you're a great friend. #sarcasm
  great ,  Fresno State has looked positively awful this game.  Mountain West West Division looking great this year #sarcasm #HawaiiBowl
  great ,  Woke up a while ago. Great way to start the year. #sarcasm
  great ,  Great day for an outdoor beer festival.... #sarcasm
  great ,  Great way to end my Christmas break. #sarcasm #ihateyou
